[distance	 angle	 speed	 height	 possibility] 
 	 2  	 50  	 1  	 2  	 1 
 	 3  	 50  	 1  	 4  	 1 
 	 4  	 50  	 1  	 5  	 1 
 	 5  	 50  	 1  	 6  	 1 
 	 6  	 50  	 1  	 7  	 1 
 	 7  	 50  	 0  	 7  	 1 
 	 8  	 50  	 0  	 7  	 1 
 	 9  	 50  	 0  	 7  	 1 
 	 10  	 50  	 0  	 7  	 1 
 	 11  	 50  	 0  	 7  	 1 
 	 12  	 50  	 0  	 7  	 1 
 	 13  	 50  	 0  	 7  	 1 
 	 14  	 50  	 0  	 7  	 1 
 	 15  	 50  	 0  	 7  	 1 
 	 16  	 50  	 0  	 7  	 1 
 	 17  	 50  	 0  	 7  	 1 
 	 18  	 50  	 0  	 6  	 1 
 	 19  	 50  	 0  	 7  	 1 
 	 20  	 50  	 0  	 7  	 1 
 	 21  	 50  	 0  	 6  	 1 
 	 22  	 50  	 0  	 8  	 1 
 	 23  	 50  	 0  	 7  	 1 
 	 24  	 50  	 0  	 6  	 1 
 	 25  	 50  	 0  	 8  	 1 
 	 26  	 50  	 0  	 7  	 1 
 	 27  	 50  	 0  	 6  	 1 
 	 28  	 50  	 0  	 8  	 1 
 	 29  	 50  	 0  	 7  	 1 
 	 30  	 50  	 0  	 6  	 1 
 	 31  	 50  	 0  	 8  	 1 
 	 32  	 50  	 0  	 7  	 1 
 	 33  	 50  	 0  	 7  	 1 
 	 34  	 50  	 0  	 8  	 1 
 	 35  	 50  	 0  	 8  	 1 
 	 36  	 50  	 0  	 7  	 1 
 	 37  	 50  	 0  	 6  	 1 
 	 38  	 50  	 0  	 8  	 1 
 	 39  	 50  	 0  	 7  	 1 
 	 40  	 50  	 0  	 6  	 1 
 	 41  	 50  	 0  	 8  	 1 
 	 42  	 50  	 0  	 7  	 1 
 	 43  	 50  	 0  	 6  	 1 
 	 44  	 50  	 0  	 6  	 1 
 	 45  	 50  	 0  	 8  	 1 
 	 46  	 50  	 0  	 7  	 1 
 	 47  	 50  	 0  	 6  	 1 
 	 48  	 50  	 0  	 8  	 1 
 	 49  	 50  	 0  	 8  	 1 
 	 50  	 50  	 0  	 7  	 1 
 	 51  	 50  	 0  	 6  	 1 
 	 52  	 50  	 0  	 8  	 1 
 	 53  	 50  	 0  	 7  	 1 
 	 54  	 50  	 0  	 6  	 1 
 	 55  	 50  	 0  	 5  	 1 
 	 56  	 50  	 0  	 8  	 1 
 	 57  	 50  	 0  	 7  	 1 
 	 58  	 50  	 0  	 6  	 1 
 	 59  	 50  	 0  	 5  	 1 
 	 60  	 50  	 0  	 8  	 1 
 	 61  	 50  	 0  	 7  	 1 
 	 62  	 50  	 0  	 6  	 1 
 	 63  	 50  	 0  	 5  	 1 
 	 64  	 50  	 0  	 8  	 1 
 	 65  	 50  	 0  	 7  	 1 
 	 66  	 50  	 0  	 6  	 1 
 	 67  	 50  	 0  	 5  	 1 
 	 68  	 50  	 0  	 8  	 1 
 	 69  	 50  	 0  	 7  	 1 
 	 70  	 50  	 0  	 6  	 1 
 	 71  	 50  	 0  	 5  	 1 
 	 72  	 50  	 0  	 9  	 1 
 	 73  	 50  	 0  	 8  	 1 
 	 74  	 50  	 0  	 7  	 1 
 	 75  	 50  	 0  	 6  	 1 
 	 76  	 50  	 0  	 9  	 1 
 	 77  	 50  	 0  	 8  	 1 
 	 78  	 50  	 0  	 7  	 1 
 	 79  	 50  	 0  	 6  	 1 
 	 80  	 50  	 0  	 5  	 1 
 	 81  	 50  	 0  	 9  	 1 
 	 82  	 50  	 0  	 8  	 1 
 	 83  	 50  	 0  	 7  	 1 
 	 84  	 50  	 0  	 6  	 1 
 	 85  	 50  	 0  	 5  	 1 
 	 86  	 50  	 0  	 8  	 1 
 	 87  	 50  	 0  	 7  	 1 
 	 88  	 50  	 0  	 6  	 1 
 	 89  	 50  	 0  	 5  	 1 
 	 90  	 50  	 0  	 9  	 1 
 	 91  	 50  	 0  	 8  	 1 
 	 92  	 50  	 0  	 7  	 1 
 	 93  	 50  	 0  	 6  	 1 
 	 94  	 50  	 0  	 5  	 1 
 	 95  	 50  	 0  	 9  	 1 
 	 96  	 50  	 0  	 8  	 1 
 	 97  	 50  	 0  	 7  	 1 
 	 98  	 50  	 0  	 6  	 1 
 	 99  	 50  	 0  	 5  	 1 
 	 100  	 50  	 0  	 9  	 1 
 	 101  	 50  	 0  	 8  	 1 
 	 102  	 50  	 0  	 7  	 1 
 	 103  	 50  	 0  	 6  	 1 
 	 104  	 50  	 0  	 5  	 1 
 	 105  	 50  	 0  	 9  	 1 
 	 106  	 50  	 0  	 8  	 1 
 	 107  	 50  	 0  	 7  	 1 
 	 108  	 50  	 0  	 6  	 1 
 	 109  	 50  	 0  	 5  	 1 
 	 110  	 50  	 0  	 9  	 1 
 	 111  	 50  	 0  	 8  	 1 
